"","X","dvcat","weight","dead","airbag","seatbelt","frontal","sex","ageOFocc","yearacc","yearVeh","abcat","occRole","deploy","injSeverity","caseid"
"11926",11926,"40-54",46.3769999998622,"alive","none","none",1,"m",16,1999,1987,"unavail","pass",0,2,"74:94:1"
"11931",11931,"10-24",143.713999999687,"alive","airbag","none",0,"f",28,1999,1995,"nodeploy","driver",0,3,"74:101:2"
"11933",11933,"40-54",18.3309999997728,"alive","none","none",1,"m",25,1999,1987,"unavail","driver",0,2,"74:102:2"
"11936",11936,"10-24",18.3309999997728,"alive","none","belted",1,"m",30,1999,1978,"unavail","driver",0,1,"74:104:2"
"11937",11937,"40-54",22.5739999997895,"alive","none","none",0,"m",51,1999,1987,"unavail","driver",0,3,"74:105:1"
"11939",11939,"10-24",1657.19599999487,"alive","none","none",0,"f",20,1999,1989,"unavail","driver",0,2,"74:106:2"
"11940",11940,"25-39",50.0429999995977,"alive","none","none",1,"m",17,1999,1991,"unavail","driver",0,0,"74:107:2"
"11941",11941,"25-39",50.0429999995977,"alive","none","belted",1,"f",16,1999,1991,"unavail","pass",0,3,"74:107:2"
"11942",11942,"25-39",21.0169999999925,"alive","none","belted",1,"m",54,1999,1987,"unavail","driver",0,3,"74:118:1"
"11947",11947,"25-39",36.2139999996871,"alive","airbag","none",0,"f",59,1999,1990,"nodeploy","driver",0,3,"74:119:2"
"11949",11949,"25-39",15.3189999999013,"alive","airbag","belted",0,"f",27,1999,1999,"nodeploy","driver",0,3,"74:121:1"
"11952",11952,"10-24",2577.18599998951,"alive","airbag","belted",1,"m",65,1999,1996,"deploy","pass",1,0,"74:122:1"
"11953",11953,"10-24",2577.18599998951,"alive","none","belted",1,"m",25,1999,1988,"unavail","driver",0,0,"74:122:2"
"11955",11955,"25-39",32.3839999996126,"alive","airbag","belted",0,"m",18,1999,1995,"deploy","driver",1,2,"74:125:2"
"11956",11956,"25-39",14.1849999999395,"alive","none","belted",1,"f",20,1999,1990,"unavail","driver",0,3,"74:127:1"
"11957",11957,"25-39",14.1849999999395,"alive","airbag","belted",0,"m",47,1999,1999,"nodeploy","driver",0,3,"74:127:2"
"11958",11958,"25-39",969.920999996364,"alive","none","belted",0,"f",43,1999,1987,"unavail","driver",0,1,"74:128:1"
"11963",11963,"10-24",25.5819999999367,"alive","airbag","belted",0,"f",51,1999,1992,"nodeploy","driver",0,2,"74:130:3"
"11965",11965,"10-24",41.36699999962,"alive","none","none",1,"f",60,1999,1987,"unavail","driver",0,3,"74:135:1"
"11968",11968,"10-24",51.7939999997616,"alive","airbag","none",0,"m",48,1999,1997,"deploy","driver",1,3,"74:136:2"
"11969",11969,"25-39",36.7719999998808,"alive","airbag","none",1,"m",30,1999,1999,"deploy","driver",1,3,"74:139:1"
"11971",11971,"25-39",27.7199999999721,"alive","airbag","none",1,"m",24,1999,1994,"deploy","driver",1,2,"74:140:1"
"11972",11972,"25-39",27.7199999999721,"alive","none","none",1,"f",28,1999,1994,"unavail","pass",0,3,"74:140:1"
"11973",11973,"40-54",27.7199999999721,"alive","none","belted",1,"m",36,1999,1989,"unavail","driver",0,0,"74:141:2"
"11974",11974,"40-54",27.7199999999721,"alive","none","none",1,"f",35,1999,1989,"unavail","pass",0,3,"74:141:2"
"11979",11979,"55+",18.1119999999646,"dead","none","none",1,"m",34,1999,1978,"unavail","pass",0,4,"74:148:1"
"11981",11981,"10-24",77.7229999992996,"alive","airbag","none",0,"f",31,1999,1999,"nodeploy","driver",0,2,"74:149:2"
"11984",11984,"25-39",18.3309999997728,"alive","none","none",0,"m",49,1999,1988,"unavail","driver",0,2,"74:151:2"
"11985",11985,"25-39",18.3309999997728,"alive","none","none",0,"f",69,1999,1988,"unavail","pass",0,3,"74:151:2"
"11987",11987,"10-24",553.389999993145,"alive","airbag","belted",1,"m",74,1999,1991,"deploy","driver",1,0,"74:153:2"
"11988",11988,"10-24",32.5069999997504,"alive","none","belted",0,"f",38,1999,1994,"unavail","driver",0,3,"74:154:1"
"11989",11989,"10-24",32.5069999997504,"alive","none","belted",1,"f",37,1999,1984,"unavail","driver",0,2,"74:154:2"
"11990",11990,"10-24",604.52499999851,"alive","airbag","belted",0,"f",51,1999,1995,"nodeploy","driver",0,1,"74:155:1"
"11995",11995,"25-39",24.058999999892,"alive","none","none",1,"f",20,1999,1992,"unavail","driver",0,1,"74:160:1"
"11997",11997,"10-24",24.058999999892,"alive","airbag","belted",0,"f",48,1999,1995,"nodeploy","driver",0,1,"74:160:3"
"12000",12000,"10-24",18.3309999997728,"alive","airbag","belted",1,"f",48,1999,1998,"deploy","pass",1,0,"74:163:1"
"12001",12001,"10-24",18.3309999997728,"alive","none","none",1,"m",18,1999,1980,"unavail","driver",0,2,"74:163:2"
"12003",12003,"40-54",18.3309999997728,"alive","none","belted",0,"m",40,1999,1989,"unavail","driver",0,2,"74:164:2"
"12004",12004,"10-24",18.3309999997728,"alive","airbag","belted",0,"m",50,1999,1995,"nodeploy","driver",0,0,"74:164:3"
"12005",12005,"25-39",18.1119999999646,"dead","none","belted",0,"f",65,1999,1991,"unavail","driver",0,4,"74:166:1"
"12006",12006,"25-39",18.1119999999646,"alive","none","none",0,"m",46,1999,1991,"unavail","pass",0,1,"74:166:1"
"12011",12011,"10-24",0,"alive","airbag","belted",1,"m",32,1999,1999,"deploy","driver",1,2,"74:803:1"
"12013",12013,"10-24",5494.41099995375,"alive","airbag","belted",1,"m",37,1999,1996,"nodeploy","driver",0,0,"75:2:2"
"12016",12016,"40-54",46.3279999997467,"alive","airbag","belted",0,"f",67,1999,1995,"nodeploy","pass",0,3,"75:4:1"
"12017",12017,"40-54",46.3279999997467,"alive","airbag","belted",1,"m",50,1999,1995,"deploy","driver",1,0,"75:4:2"
"12019",12019,"10-24",40.6609999998473,"alive","none","belted",1,"m",17,1999,1966,"unavail","driver",0,0,"75:6:1"
"12020",12020,"10-24",40.6609999998473,"alive","none","none",1,"f",18,1999,1991,"unavail","driver",0,1,"75:6:2"
"12021",12021,"25-39",40.6609999998473,"alive","none","belted",1,"m",56,1999,1986,"unavail","driver",0,3,"75:7:1"
"12022",12022,"10-24",40.6609999998473,"alive","airbag","none",1,"f",47,1999,1996,"deploy","driver",1,1,"75:7:2"
"12027",12027,"40-54",50.7299999999814,"alive","airbag","belted",1,"f",16,1999,1993,"deploy","driver",1,1,"75:14:2"
"12029",12029,"10-24",561.572999998927,"alive","airbag","belted",0,"f",59,1999,1997,"nodeploy","driver",0,1,"75:15:2"
"12032",12032,"10-24",366.577999997884,"alive","airbag","belted",1,"m",16,1999,1998,"deploy","driver",1,0,"75:19:2"
"12033",12033,"10-24",1062.76399999857,"alive","none","none",1,"m",27,1999,1989,"unavail","driver",0,2,"75:20:1"
"12035",12035,"10-24",1062.76399999857,"alive","none","belted",1,"f",16,1999,1979,"unavail","driver",0,0,"75:21:2"
"12036",12036,"10-24",1062.76399999857,"alive","none","none",1,"f",16,1999,1979,"unavail","pass",0,2,"75:21:2"
"12037",12037,"40-54",61.5759999998845,"alive","airbag","belted",0,"m",20,1999,1997,"nodeploy","driver",0,3,"75:23:1"
"12038",12038,"25-39",61.5759999998845,"alive","airbag","belted",1,"m",49,1999,1995,"nodeploy","driver",0,0,"75:23:2"
"12043",12043,"10-24",102.384999999776,"alive","airbag","belted",1,"f",67,1999,1997,"deploy","driver",1,2,"75:25:2"
"12045",12045,"10-24",57.6929999999702,"alive","none","none",1,"f",17,1999,1990,"unavail","pass",0,3,"75:27:1"
"12048",12048,"10-24",315.957999996841,"alive","airbag","belted",1,"f",18,1999,1996,"deploy","driver",1,0,"75:29:1"
"12049",12049,"10-24",570.187999993563,"alive","airbag","belted",1,"m",35,1999,1996,"nodeploy","driver",0,0,"75:30:1"
"12051",12051,"10-24",35.3879999998026,"alive","none","belted",1,"m",35,1999,1977,"unavail","driver",0,3,"75:32:1"
"12052",12052,"10-24",1703.31499999762,"alive","none","none",0,"f",27,1999,1986,"unavail","driver",0,1,"75:34:2"
"12053",12053,"25-39",35.3879999998026,"alive","airbag","none",1,"m",28,1999,1996,"deploy","driver",1,0,"75:36:1"
"12054",12054,"10-24",35.3879999998026,"alive","airbag","belted",0,"f",47,1999,1997,"deploy","driver",1,3,"75:36:2"
"12059",12059,"1-9km/h",2206.01099997759,"alive","airbag","belted",0,"f",17,1999,1993,"nodeploy","driver",0,0,"75:39:1"
"12061",12061,"10-24",2854.79499998689,"alive","none","belted",1,"f",33,1999,1992,"unavail","driver",0,0,"75:40:1"
"12064",12064,"10-24",138.352999998257,"alive","airbag","belted",1,"f",33,1999,1996,"deploy","pass",1,3,"75:41:2"
"12065",12065,"10-24",60.5289999996312,"alive","none","belted",1,"m",22,1999,1990,"unavail","driver",0,0,"75:42:1"
"12067",12067,"25-39",92.7299999995157,"alive","none","none",1,"m",37,1999,1989,"unavail","driver",0,3,"75:44:1"
"12068",12068,"25-39",92.7299999995157,"alive","airbag","belted",0,"m",23,1999,1995,"deploy","driver",1,3,"75:44:2"
"12069",12069,"25-39",92.7299999995157,"alive","airbag","belted",0,"f",22,1999,1995,"deploy","pass",1,NA,"75:44:2"
"12070",12070,"25-39",40.6609999998473,"alive","none","belted",1,"f",37,1999,1992,"unavail","driver",0,1,"75:46:1"
"12075",12075,"1-9km/h",40.6609999998473,"alive","none","none",0,"m",29,1999,1977,"unavail","pass",0,3,"75:50:1"
"12077",12077,"10-24",3407.6629999876,"alive","airbag","belted",1,"f",22,1999,1993,"nodeploy","driver",0,1,"75:52:1"
"12080",12080,"10-24",39.655999999959,"alive","airbag","none",0,"f",70,1999,1996,"nodeploy","driver",0,3,"75:56:1"
"12081",12081,"25-39",39.655999999959,"alive","none","belted",1,"f",17,1999,1985,"unavail","driver",0,3,"75:56:2"
"12083",12083,"10-24",318.953999999911,"alive","airbag","belted",1,"m",25,1999,1999,"nodeploy","driver",0,1,"75:57:2"
"12084",12084,"1-9km/h",6553.50799995661,"alive","none","belted",0,"f",29,1999,1993,"unavail","driver",0,0,"75:58:2"
"12085",12085,"1-9km/h",6553.50799995661,"alive","none","belted",0,"m",30,1999,1993,"unavail","pass",0,0,"75:58:2"
"12086",12086,"10-24",80.99199999962,"alive","none","belted",1,"f",16,1999,1991,"unavail","driver",0,3,"75:59:1"
"12091",12091,"10-24",54.2839999999851,"alive","none","belted",1,"f",49,1999,1993,"unavail","pass",0,2,"75:60:3"
"12093",12093,"40-54",54.2839999999851,"alive","none","belted",1,"f",22,1999,1974,"unavail","pass",0,3,"75:61:2"
"12096",12096,"25-39",54.2839999999851,"alive","none","none",0,"f",31,1999,1985,"unavail","pass",0,2,"75:62:2"
"12097",12097,"10-24",40.4399999999441,"alive","airbag","belted",0,"m",37,1999,1998,"deploy","driver",1,3,"75:64:1"
"12099",12099,"10-24",592.926999993622,"alive","none","belted",1,"m",45,1999,1990,"unavail","driver",0,0,"75:67:2"
"12100",12100,"10-24",1070.01299999654,"alive","none","belted",1,"f",73,1999,1990,"unavail","driver",0,0,"75:68:2"
"12101",12101,"10-24",1070.01299999654,"alive","none","belted",1,"f",46,1999,1990,"unavail","pass",0,0,"75:68:2"
"12102",12102,"25-39",2224.52999997139,"alive","airbag","belted",1,"m",38,1999,1995,"deploy","driver",1,0,"75:69:2"
"12107",12107,"10-24",1121.12899999321,"alive","airbag","belted",1,"m",34,1999,1997,"nodeploy","driver",0,0,"75:74:1"
"12109",12109,"25-39",49.2879999997094,"alive","none","belted",1,"m",17,1999,1991,"unavail","driver",0,3,"75:79:1"
"12112",12112,"10-24",40.6609999998473,"alive","airbag","belted",1,"m",52,1999,1998,"deploy","driver",1,0,"75:82:1"
"12113",12113,"25-39",40.6609999998473,"alive","none","belted",1,"m",45,1999,1986,"unavail","driver",0,3,"75:82:2"
"12115",12115,"10-24",1429.70499999821,"alive","airbag","none",1,"f",31,1999,1998,"nodeploy","driver",0,2,"75:84:1"
"12116",12116,"10-24",1429.70499999821,"alive","airbag","none",1,"m",37,1999,1998,"nodeploy","pass",0,2,"75:84:1"
"12117",12117,"10-24",5363.93599998951,"alive","none","belted",0,"f",20,1999,1984,"unavail","driver",0,0,"75:85:2"
"12118",12118,"10-24",5363.93599998951,"alive","none","belted",0,"m",26,1999,1984,"unavail","pass",0,0,"75:85:2"
"12123",12123,"10-24",468.120999999344,"alive","airbag","belted",0,"m",52,1999,1996,"nodeploy","driver",0,1,"75:87:2"
"12125",12125,"25-39",1357.15099999309,"alive","none","belted",1,"f",79,1999,1986,"unavail","driver",0,2,"75:88:1"
"12128",12128,"10-24",70.75,"alive","airbag","none",1,"m",42,1999,1994,"deploy","driver",1,0,"75:91:1"
"12129",12129,"25-39",70.75,"alive","none","belted",0,"m",56,1999,1991,"unavail","driver",0,3,"75:91:2"
"12131",12131,"55+",50.7299999999814,"dead","airbag","belted",1,"f",22,1999,1998,"nodeploy","driver",0,4,"75:92:2"
"12132",12132,"40-54",1082.25099998713,"alive","none","none",1,"m",16,1999,1980,"unavail","pass",0,3,"75:94:1"
"12133",12133,"25-39",1082.25099998713,"alive","airbag","belted",1,"f",54,1999,1998,"deploy","driver",1,1,"75:94:2"
"12134",12134,"10-24",58.8699999996461,"alive","airbag","belted",1,"f",58,1999,1996,"deploy","driver",1,2,"75:95:1"
"12139",12139,"40-54",49.2579999999143,"alive","none","none",0,"f",47,1999,1988,"unavail","driver",0,3,"75:99:1"
"12141",12141,"10-24",1470.90399999917,"alive","none","belted",0,"f",42,1999,1992,"unavail","pass",0,1,"75:102:2"
"12144",12144,"40-54",69.8109999997541,"alive","none","belted",0,"f",17,1999,1985,"unavail","driver",0,0,"75:106:1"
"12145",12145,"25-39",69.8109999997541,"alive","airbag","belted",1,"m",19,1999,1996,"nodeploy","driver",0,1,"75:106:2"
"12147",12147,"55+",67.5669999998063,"alive","none","belted",1,"f",18,1999,1990,"unavail","driver",0,3,"75:109:1"
"12148",12148,"55+",67.5669999998063,"alive","none","belted",1,"m",50,1999,1990,"unavail","pass",0,3,"75:109:1"
"12149",12149,"55+",67.5669999998063,"dead","none","belted",1,"f",47,1999,1995,"unavail","driver",0,4,"75:109:2"
"12150",12150,"55+",50.7299999999814,"dead","none","belted",0,"f",18,1999,1992,"unavail","driver",0,4,"75:112:1"
"12155",12155,"25-39",150.707999998704,"alive","airbag","belted",1,"m",54,1999,1998,"nodeploy","driver",0,1,"75:117:2"
"12157",12157,"10-24",65.9349999995902,"alive","airbag","belted",0,"f",41,1999,1995,"nodeploy","driver",0,2,"75:118:1"
"12160",12160,"25-39",887.457999996841,"alive","none","belted",1,"m",16,1999,1991,"unavail","pass",0,0,"75:119:1"
"12161",12161,"25-39",887.457999996841,"alive","none","none",1,"m",26,1999,1994,"unavail","driver",0,3,"75:119:2"
"12163",12163,"10-24",196.033999999985,"alive","none","belted",1,"m",16,1999,1983,"unavail","driver",0,1,"75:126:1"
"12164",12164,"10-24",196.033999999985,"alive","none","belted",1,"m",65,1999,1989,"unavail","driver",0,1,"75:126:2"
"12165",12165,"10-24",196.033999999985,"alive","none","belted",1,"f",67,1999,1989,"unavail","pass",0,3,"75:126:2"
"12166",12166,"10-24",3112.50099998713,"alive","airbag","none",0,"f",20,1999,1993,"nodeploy","driver",0,1,"75:127:1"
"12171",12171,"10-24",38.3349999999627,"alive","airbag","none",1,"f",37,1999,1996,"deploy","driver",1,3,"75:129:1"
"12173",12173,"25-39",48.0219999998808,"alive","airbag","belted",1,"f",63,1999,1998,"deploy","driver",1,3,"75:132:2"
"12176",12176,"10-24",80.0099999997765,"alive","airbag","belted",1,"m",22,1999,1996,"deploy","pass",1,0,"75:134:2"
"12177",12177,"40-54",74.3449999997392,"alive","none","belted",1,"f",16,1999,1990,"unavail","driver",0,3,"75:135:1"
"12179",12179,"25-39",74.3449999997392,"alive","airbag","belted",1,"f",59,1999,1996,"deploy","pass",1,3,"75:135:2"
"12180",12180,"10-24",113.894999999553,"alive","none","none",0,"f",27,1999,1988,"unavail","driver",0,3,"75:136:1"
"12181",12181,"10-24",113.894999999553,"alive","airbag","belted",1,"f",42,1999,1999,"deploy","driver",1,0,"75:136:2"
"12182",12182,"10-24",85.3189999992028,"alive","airbag","none",1,"f",60,1999,1997,"deploy","driver",1,3,"75:137:1"
"12187",12187,"25-39",69.8739999998361,"alive","none","none",1,"m",26,1999,1989,"unavail","driver",0,3,"75:141:1"
"12189",12189,"25-39",69.8739999998361,"alive","none","none",1,"m",17,1999,1988,"unavail","pass",0,2,"75:142:2"
"12192",12192,"25-39",90.2479999996722,"alive","airbag","none",1,"f",16,1999,1996,"deploy","driver",1,3,"75:144:1"
"12193",12193,"25-39",90.2479999996722,"alive","airbag","none",1,"f",16,1999,1996,"deploy","pass",1,3,"75:144:1"
"12195",12195,"10-24",144.995999999344,"alive","airbag","belted",1,"f",37,1999,1999,"deploy","driver",1,3,"75:146:1"
"12196",12196,"10-24",144.995999999344,"alive","airbag","belted",1,"f",16,1999,1999,"deploy","pass",1,3,"75:146:1"
"12197",12197,"10-24",144.995999999344,"alive","airbag","belted",1,"f",16,1999,1997,"deploy","driver",1,2,"75:146:2"
"12198",12198,"25-39",97.1829999992624,"alive","airbag","belted",1,"m",41,1999,1996,"deploy","driver",1,0,"75:148:2"
"12203",12203,"25-39",100.25,"alive","airbag","belted",1,"f",28,1999,1993,"deploy","driver",1,3,"75:154:2"
"12205",12205,"10-24",43.8939999998547,"alive","airbag","belted",1,"f",57,1999,1996,"deploy","driver",1,1,"75:157:1"
"12208",12208,"10-24",43.8939999998547,"alive","airbag","belted",0,"m",34,1999,1998,"nodeploy","driver",0,0,"75:157:3"
"12209",12209,"25-39",44.7549999998882,"alive","airbag","belted",1,"m",52,1999,1999,"deploy","driver",1,3,"75:159:1"
"12211",12211,"25-39",2050.27399998903,"alive","airbag","belted",0,"f",44,1999,1998,"deploy","driver",1,0,"75:162:1"
"12212",12212,"10-24",2050.27399998903,"alive","airbag","belted",1,"f",60,1999,1996,"deploy","driver",1,2,"75:162:2"
"12213",12213,"10-24",7692.17399996519,"alive","none","belted",0,"m",20,1999,1989,"unavail","driver",0,0,"75:163:1"
"12214",12214,"10-24",7692.17399996519,"alive","none","belted",0,"f",18,1999,1989,"unavail","pass",0,0,"75:163:1"
"12219",12219,"10-24",884.579999998212,"alive","airbag","belted",0,"m",61,1999,1999,"nodeploy","driver",0,1,"75:165:1"
"12221",12221,"10-24",2564.52699998021,"alive","airbag","belted",0,"f",36,1999,1995,"nodeploy","driver",0,1,"75:166:1"
"12224",12224,"10-24",37.1679999995977,"alive","airbag","belted",0,"f",21,1999,1999,"nodeploy","driver",0,3,"75:168:1"
"12225",12225,"10-24",37.1679999995977,"alive","airbag","none",1,"f",21,1999,1998,"deploy","driver",1,3,"75:168:2"
"12227",12227,"25-39",56.9409999996424,"alive","none","none",0,"f",85,1999,1989,"unavail","pass",0,2,"75:169:1"
"12228",12228,"1-9km/h",12940.9389998913,"alive","airbag","belted",0,"m",20,1999,1998,"nodeploy","driver",0,0,"75:170:1"
"12229",12229,"10-24",77.7629999993369,"alive","airbag","belted",1,"m",28,1999,1997,"nodeploy","driver",0,0,"75:172:3"
"12230",12230,"10-24",77.7629999993369,"alive","airbag","none",1,"m",25,1999,1997,"nodeploy","pass",0,5,"75:172:3"
"12235",12235,"25-39",126.080999999307,"alive","airbag","none",1,"m",38,1999,1998,"deploy","driver",1,3,"76:8:1"
"12237",12237,"10-24",161.533999999985,"alive","none","belted",0,"f",50,1999,1989,"unavail","driver",0,2,"76:11:2"
"12240",12240,"10-24",537.716999992728,"alive","airbag","none",1,"m",46,1999,1997,"deploy","driver",1,2,"76:16:1"
"12241",12241,"10-24",126.080999999307,"alive","airbag","belted",1,"m",41,1999,1995,"deploy","driver",1,3,"76:17:1"
"12243",12243,"10-24",126.080999999307,"alive","airbag","belted",1,"f",62,1999,1992,"deploy","pass",1,3,"76:20:1"
"12244",12244,"10-24",132.38599999994,"alive","airbag","belted",1,"m",33,1999,1992,"deploy","driver",1,2,"76:23:2"
"12245",12245,"10-24",132.38599999994,"alive","none","belted",1,"f",33,1999,1992,"unavail","pass",0,3,"76:23:2"
"12246",12246,"40-54",132.38599999994,"alive","airbag","none",0,"f",19,1999,1995,"deploy","driver",1,3,"76:24:1"
"12251",12251,"10-24",312.488999996334,"alive","none","none",0,"m",16,1999,1973,"unavail","pass",0,0,"76:29:1"
"12253",12253,"10-24",136.713999999687,"alive","airbag","belted",1,"m",21,1999,1997,"deploy","driver",1,0,"76:31:1"
"12256",12256,"25-39",126.080999999307,"alive","none","none",1,"m",24,1999,1990,"unavail","pass",0,3,"76:32:1"
"12257",12257,"10-24",126.080999999307,"alive","none","belted",1,"m",54,1999,1974,"unavail","driver",0,1,"76:32:2"
"12259",12259,"10-24",1009.29299999774,"alive","none","belted",0,"f",20,1999,1981,"unavail","pass",0,1,"76:33:2"
"12260",12260,"25-39",273.22899999842,"alive","airbag","belted",1,"f",75,1999,1996,"deploy","driver",1,2,"76:35:3"
"12261",12261,"25-39",615.759999997914,"alive","airbag","none",1,"m",48,1999,1998,"deploy","driver",1,1,"76:39:1"
"12262",12262,"40-54",126.080999999307,"alive","none","none",0,"f",48,1999,1986,"unavail","driver",0,1,"76:41:1"
"12267",12267,"10-24",206.991999998689,"alive","airbag","belted",0,"m",29,1999,1996,"nodeploy","driver",0,2,"76:47:1"
"12269",12269,"25-39",206.991999998689,"alive","airbag","none",1,"f",23,1999,1993,"deploy","driver",1,1,"76:47:2"
"12272",12272,"10-24",1456.81499999762,"alive","none","belted",1,"f",43,1999,1986,"unavail","driver",0,1,"76:49:2"
"12273",12273,"10-24",1456.81499999762,"alive","none","belted",1,"f",16,1999,1986,"unavail","pass",0,0,"76:49:2"
"12275",12275,"10-24",126.080999999307,"alive","none","belted",0,"m",44,1999,1985,"unavail","driver",0,1,"76:54:1"
"12276",12276,"10-24",126.080999999307,"alive","none","belted",0,"f",24,1999,1985,"unavail","pass",0,1,"76:54:1"
"12277",12277,"10-24",126.080999999307,"alive","none","belted",1,"m",79,1999,1988,"unavail","driver",0,1,"76:54:2"
"12278",12278,"10-24",126.080999999307,"alive","none","belted",1,"f",77,1999,1988,"unavail","pass",0,3,"76:54:2"
"12283",12283,"10-24",875.963999994099,"alive","airbag","belted",1,"f",18,1999,1994,"deploy","driver",1,3,"76:58:1"
"12285",12285,"10-24",124.217999999411,"alive","none","belted",1,"m",25,1999,1988,"unavail","driver",0,0,"76:59:1"
"12288",12288,"10-24",5594.17099994421,"alive","none","belted",0,"m",46,1999,1986,"unavail","driver",0,0,"76:61:2"
"12289",12289,"40-54",125.042999999598,"alive","airbag","belted",1,"m",21,1999,1998,"deploy","driver",1,2,"76:62:1"
"12291",12291,"55+",125.042999999598,"alive","airbag","belted",1,"f",62,1999,1995,"deploy","driver",1,3,"76:62:2"
"12292",12292,"10-24",462.922999996692,"alive","none","belted",0,"f",29,1999,1986,"unavail","driver",0,0,"76:66:2"
"12293",12293,"10-24",397.42499999702,"alive","airbag","belted",1,"m",29,1999,1997,"nodeploy","driver",0,0,"76:69:2"
"12294",12294,"10-24",397.42499999702,"alive","airbag","belted",1,"f",30,1999,1997,"nodeploy","pass",0,1,"76:69:2"
"12299",12299,"25-39",163.966999998316,"dead","airbag","none",1,"f",59,1999,1998,"nodeploy","pass",0,4,"76:74:1"
"12301",12301,"10-24",221.902999999002,"alive","none","none",1,"m",29,1999,1983,"unavail","pass",0,1,"76:75:1"
"12304",12304,"10-24",932.372999995947,"alive","none","belted",1,"f",16,1999,1994,"unavail","pass",0,2,"76:77:1"
"12305",12305,"10-24",126.080999999307,"alive","airbag","belted",0,"m",35,1999,1994,"nodeploy","driver",0,3,"76:81:1"
"12307",12307,"10-24",544.968999996781,"alive","airbag","belted",1,"f",49,1999,1998,"deploy","driver",1,2,"76:82:2"
"12308",12308,"1-9km/h",842.678999997675,"alive","none","belted",0,"f",74,1999,1989,"unavail","driver",0,0,"76:83:1"
"12309",12309,"1-9km/h",842.678999997675,"alive","none","belted",0,"m",84,1999,1989,"unavail","pass",0,0,"76:83:1"
"12310",12310,"40-54",388.488999996334,"alive","none","belted",1,"m",76,1999,1994,"unavail","driver",0,1,"76:88:1"
"12315",12315,"10-24",125.042999999598,"alive","airbag","none",1,"f",19,1999,1998,"deploy","driver",1,3,"76:93:1"
"12317",12317,"10-24",125.042999999598,"alive","airbag","belted",1,"f",24,1999,1998,"nodeploy","driver",0,3,"76:94:2"
"12320",12320,"10-24",289.788999997079,"alive","none","none",1,"m",35,1999,1987,"unavail","driver",0,0,"76:102:2"
"12321",12321,"10-24",289.788999997079,"alive","none","none",1,"f",40,1999,1987,"unavail","pass",0,1,"76:102:2"
"12323",12323,"10-24",279.711999997497,"alive","none","belted",1,"f",30,1999,1991,"unavail","driver",0,2,"76:108:1"
"12324",12324,"10-24",1048.90699999034,"alive","airbag","belted",1,"m",83,1999,1995,"nodeploy","driver",0,0,"76:110:1"
"12325",12325,"10-24",1048.90699999034,"alive","airbag","belted",1,"f",82,1999,1995,"nodeploy","pass",0,0,"76:110:1"
"12326",12326,"25-39",124.217999999411,"dead","none","none",1,"m",86,1999,1989,"unavail","driver",0,4,"76:112:1"
"12331",12331,"25-39",559.423999994993,"alive","airbag","none",1,"f",37,1999,1993,"deploy","driver",1,1,"76:119:1"
"12333",12333,"10-24",559.423999994993,"alive","airbag","belted",0,"f",62,1999,1997,"nodeploy","driver",0,0,"76:119:2"
"12336",12336,"10-24",196.686999998987,"alive","none","none",1,"f",22,1999,1979,"unavail","driver",0,3,"76:123:1"
"12337",12337,"10-24",349.639999996871,"alive","none","none",1,"m",58,1999,1992,"unavail","driver",0,0,"76:125:1"
"12339",12339,"25-39",349.639999996871,"alive","none","none",1,"m",53,1999,1994,"unavail","driver",0,2,"76:125:2"
"12340",12340,"25-39",124.217999999411,"dead","airbag","none",1,"f",80,1999,1996,"deploy","driver",1,4,"76:130:1"
"12341",12341,"55+",126.080999999307,"alive","airbag","belted",1,"m",55,1999,1993,"deploy","driver",1,3,"76:131:1"
"12342",12342,"10-24",146.47899999842,"alive","airbag","belted",1,"f",20,1999,1996,"nodeploy","driver",0,3,"76:132:1"
"12347",12347,"10-24",267.065999999642,"alive","airbag","belted",0,"m",25,1999,1994,"nodeploy","driver",0,0,"76:134:2"
"12349",12349,"10-24",1215.56699998677,"alive","airbag","belted",1,"f",52,1999,1994,"nodeploy","driver",0,0,"76:135:1"
"12352",12352,"10-24",675.969999998808,"alive","none","belted",1,"f",31,1999,1993,"unavail","driver",0,2,"76:141:1"
"12353",12353,"10-24",675.969999998808,"alive","none","belted",1,"f",29,1999,1994,"unavail","driver",0,0,"76:141:2"
"12355",12355,"25-39",126.080999999307,"alive","none","belted",1,"f",20,1999,1990,"unavail","pass",0,3,"76:148:1"
"12356",12356,"25-39",244.276999998838,"alive","airbag","belted",0,"f",20,1999,1996,"nodeploy","driver",0,0,"76:150:1"
"12357",12357,"25-39",244.276999998838,"alive","airbag","belted",0,"f",18,1999,1996,"nodeploy","pass",0,0,"76:150:1"
"12358",12358,"25-39",2535.1779999733,"alive","none","belted",0,"m",36,1999,1987,"unavail","driver",0,2,"78:7:1"
"12363",12363,"25-39",2100.5759999752,"alive","none","none",1,"m",31,1999,1979,"unavail","driver",0,0,"78:16:1"
"12365",12365,"25-39",107.181999999098,"alive","none","none",1,"f",49,1999,1987,"unavail","driver",0,3,"78:20:1"
"12368",12368,"25-39",107.181999999098,"alive","airbag","belted",1,"m",19,1999,1998,"deploy","pass",1,2,"78:20:2"
"12369",12369,"25-39",173.437999999151,"alive","none","belted",1,"f",57,1999,1986,"unavail","driver",0,3,"78:25:1"
"12371",12371,"40-54",231.563999999315,"alive","airbag","none",1,"f",50,1999,1996,"deploy","driver",1,1,"78:27:1"
